Flag	Default	설명	활용 및 조언
--ethstats value	-	ethstats 서비스에 노드 상태를 리포팅. 형식: nodename:secret@host:port	ethstats는 여러 노드의 동기화 상태/블록높이/피어수를 웹 UI로 실시간 모니터링하는 서비스. 멀티노드 테스트넷을 운영할 때 각 노드가 정상 동기화되는지 한눈에 확인할 때 유용. 단일 노드면 불필요
--metrics	false	메트릭 수집 및 리포팅 활성화	이 플래그가 켜져야 Geth 내부의 모든 메트릭(chain/txpool/rpc/db 등)이 수집됨. Prometheus/Grafana를 쓰려면 반드시 활성화. 성능 오버헤드는 거의 없으므로 항상 켜두는 것을 권장
--metrics.addr value	-	메트릭 전용 HTTP 서버의 리스닝 주소. 이 값을 설정해야 메트릭 서버가 시작됨	0.0.0.0으로 설정하면 외부에서 접근 가능. Docker 환경에서는 컨테이너 간 통신을 위해 0.0.0.0 필수. 프로덕션에서는 내부 네트워크만 허용하도록 방화벽 설정 필요
--metrics.port value	6060	메트릭 HTTP 서버 리스닝 포트. --metrics.addr 설정 필수	6060은 Go의 pprof 디버그 포트와 동일. 메트릭 엔드포인트는 /debug/metrics/prometheus 경로에 노출됨. 같은 호스트에서 여러 Geth를 돌리면 포트를 다르게 지정해야 함
--metrics.influxdb	false	InfluxDB v1으로 메트릭 push 활성화	Prometheus는 pull 방식(scrape)이고 InfluxDB는 push 방식. 이미 InfluxDB 인프라가 있는 조직에서 사용. Prometheus+Grafana 조합을 쓴다면 이 옵션은 불필요
--metrics.influxdbv2	false	InfluxDB v2로 메트릭 push 활성화	InfluxDB v2는 토큰 기반 인증과 Flux 쿼리 언어를 사용. v1과 동시에 켤 수 없음. 새로 구축한다면 v2 권장이지만 Prometheus 조합이 이더리움 커뮤니티에서 더 표준적
--metrics.influxdb.endpoint value	http://localhost:8086	InfluxDB API 엔드포인트	Docker 환경이면 컨테이너 이름으로 변경 필요 (예: http://influxdb:8086). localhost는 컨테이너 내부를 가리키므로 Docker에서는 동작하지 않음
--metrics.influxdb.database value	geth	메트릭을 저장할 InfluxDB 데이터베이스 이름 (v1)	여러 Geth 노드의 메트릭을 분리하고 싶으면 노드별로 다른 DB 이름을 지정. 단일 노드면 기본값 geth로 충분
--metrics.influxdb.bucket value	geth	메트릭을 저장할 InfluxDB 버킷 이름 (v2 전용)	v2에서 database 대신 사용하는 개념. retention policy가 버킷 단위로 설정되므로 메트릭 보관 기간에 따라 버킷을 나눌 수 있음
--metrics.influxdb.organization value	geth	InfluxDB 조직 이름 (v2 전용)	v2의 멀티테넌시 단위. 개인/소규모 테스트넷에서는 기본값으로 충분. 팀별 접근제어가 필요할 때 조직을 분리
--metrics.influxdb.username value	test	InfluxDB 접근 인증 사용자명	v1 전용. 기본값이 test이므로 프로덕션에서는 반드시 변경. v2에서는 token을 사용하므로 무시됨
--metrics.influxdb.password value	test	InfluxDB 접근 인증 비밀번호	v1 전용. 기본값 test 그대로 쓰면 보안 취약. 환경변수 $GETH_METRICS_INFLUXDB_PASSWORD로 주입하는 것을 권장
--metrics.influxdb.token value	test	InfluxDB 접근 토큰 (v2 전용)	v2의 인증 방식. InfluxDB UI에서 생성한 API 토큰을 넣어야 함. 기본값 test는 개발용이므로 프로덕션에서는 반드시 교체
--metrics.influxdb.tags value	host=localhost	모든 measurement에 붙는 쉼표 구분 태그 (key=value)	여러 노드 메트릭을 하나의 DB에 넣을 때 노드를 구분하는 용도. 예: host=node1,network=mainnet. Grafana에서 태그로 필터링/그룹핑 가능
--metrics.influxdb.interval value	10s	InfluxDB로 메트릭 리포팅 간격	Prometheus의 scrape_interval에 해당. 짧을수록 세밀하지만 DB 부하 증가. 10s는 합리적인 기본값. 디버깅 시 3s로 줄이고 평시에는 15~30s도 충분
